,name,country_code,country,domains,web_pages
107,Universidade Bandeirante de São Paulo,BR,Brazil,uniban.br,http://www.uniban.br/
108,Universidade Ibirapuera,BR,Brazil,unib.br,http://www.unib.br/
109,Universidade Católica Dom Bosco,BR,Brazil,unibosco.br,http://www.unibosco.br/
110,Faculdades Integradas do Brasil - UNIBRASIL,BR,Brazil,unibrasil.com.br,http://www.unibrasil.com.br/
111,Universidade Estadual de Campinas,BR,Brazil,unicamp.br,http://www.unicamp.br/
112,Universidade Católica de Pernambuco,BR,Brazil,unicap.br,http://www.unicap.br/
113,Universidade Camilo Castelo Branco,BR,Brazil,unicastelo.br,http://www.unicastelo.br/
114,Universidade Cidade de São Paulo,BR,Brazil,unicid.br,http://www.unicid.br/
115,Universidade de Cruz Alta,BR,Brazil,unicruz.tche.br,http://www.unicruz.tche.br/
116,Universidade Cruzeiro do Sul,BR,Brazil,unicsul.br,http://www.unicsul.br/
117,Universidade para o Desenvolvimento do Alto Vale do Itajaí,BR,Brazil,unidavi.rct-sc.br,http://www.unidavi.rct-sc.br/
118,Universidade Salvador,BR,Brazil,unifacs.br,http://www.unifacs.br/
119,Universidade Federal do Amapá,BR,Brazil,unifap.br,http://www.unifap.br/
120,Universidade de Alfenas,BR,Brazil,unifenas.br,http://www.unifenas.br/
121,Centro Universitário Serra dos Órgãos,BR,Brazil,unifeso.edu.br,http://www.unifeso.edu.br/
122,Universidade de Fortaleza,BR,Brazil,unifor.br,http://www.unifor.br/
123,Universidade de Franca,BR,Brazil,unifran.br,http://www.unifran.br/
124,Universidade de Nova Iguaçu,BR,Brazil,unig.br,http://www.unig.br/
125,Universidade do Grande Rio,BR,Brazil,unigranrio.br,http://www.unigranrio.br/
126,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,BR,Brazil,unijui.tche.br,http://www.unijui.tche.br/
127,Universidade de Marília,BR,Brazil,unimar.br,http://www.unimar.br/
128,Universidade Metodista de Piracicaba,BR,Brazil,unimep.br,http://www.unimep.br/
129,Universidade Metropolitana de Santos,BR,Brazil,unimes.com.br,http://www.unimes.com.br/
130,Centro Universitário Monte Serrat,BR,Brazil,unimonte.br,http://www.unimonte.br/
131,Universidade Estadual de Montes Claros,BR,Brazil,unimontes.br,http://www.unimontes.br/
132,Universidade Estadual do Oeste do Paraná,BR,Brazil,unioeste.br,http://www.unioeste.br/
133,Centro Universitário de João Pessoa,BR,Brazil,unipe.br,http://www.unipe.br/
134,Centro Universitário Plinio Leite,BR,Brazil,unipli.com.br,http://www.unipli.com.br/
135,Universidade Paulista,BR,Brazil,unip-objetivo.br,http://www.unip-objetivo.br/
136,Universidade Federal de Rondônia,BR,Brazil,unir.br,http://www.unir.br/
137,Universidade do Rio de Janeiro,BR,Brazil,unirio.br,http://www.unirio.br/
138,Universidade de Santo Amaro,BR,Brazil,unisa.br,http://www.unisa.br/
139,Universidade Católica de Santos,BR,Brazil,unisantos.com.br,http://www.unisantos.com.br/
140,Universidade de Santa Cruz do Sul,BR,Brazil,unisc.br,http://www.unisc.br/
141,Universidade Vale do Rio dos Sinos,BR,Brazil,unisinos.br,http://www.unisinos.br/
